Timestamp,Employment_Status,GPA
4/3/2024 11:39:27,Employed,3.8
4/3/2024 11:40:12,Employed,3.7
4/3/2024 11:44:27,Employed,3.44
4/3/2024 13:53:54,Employed,3.9
4/3/2024 13:55:02,Employed,2.99
4/3/2024 13:55:33,Employed,3.69
4/3/2024 13:56:05,Unemployed,3
4/3/2024 13:57:38,Unemployed,2.77
4/3/2024 13:58:05,Employed,3.8
4/3/2024 13:58:50,Unemployed,4
4/3/2024 14:01:33,Employed,4
4/3/2024 14:03:50,Employed,4
4/3/2024 15:28:23,Employed,3.95
4/3/2024 17:44:07,Unemployed,3.3
4/3/2024 17:57:21,Employed,2.9
4/3/2024 17:57:30,Unemployed,3.8
4/3/2024 18:00:34,Employed,2.3
4/3/2024 18:13:47,Employed,3.5
4/3/2024 18:13:57,Employed,3.5
4/3/2024 18:16:08,Employed,3.8
4/3/2024 18:16:17,Employed,3.7
4/3/2024 18:25:19,Employed,0.7
4/3/2024 19:56:14,Unemployed,4
4/3/2024 20:00:24,Unemployed,2.5
4/3/2024 20:02:31,Employed,4
4/3/2024 20:03:19,Employed,3.95
4/3/2024 20:08:42,Unemployed,3.6
4/3/2024 20:08:59,Employed,4
4/3/2024 20:24:04,Unemployed,3.6
4/3/2024 21:04:44,Unemployed,3.95
4/3/2024 21:13:59,Unemployed,3.9
4/3/2024 21:48:16,Employed,1.5
4/3/2024 21:49:14,Employed,3.94
4/3/2024 22:14:46,Employed,3.4
4/3/2024 22:43:13,Employed,3.75
4/3/2024 23:21:05,Employed,2.9
4/3/2024 23:41:18,Employed,3.97
4/3/2024 23:53:27,Employed,3.98
4/4/2024 5:23:26,Unemployed,3.89
4/4/2024 9:55:20,Unemployed,3
4/4/2024 10:31:37,Employed,3.8
4/4/2024 13:03:56,Unemployed,3.7
4/5/2024 9:23:45,Unemployed,3.2
4/5/2024 9:25:54,Unemployed,4
4/5/2024 9:28:35,Employed,4
4/5/2024 10:02:57,Employed,4
4/5/2024 10:40:39,Employed,3.9
4/5/2024 10:41:53,Unemployed,3.2
4/5/2024 10:47:24,Employed,4
4/5/2024 10:50:57,Employed,2.8
4/5/2024 10:51:05,Employed,3.2
4/5/2024 10:51:15,Employed,3.6
4/5/2024 10:51:49,Unemployed,3.4
4/5/2024 10:52:18,Unemployed,2.9
4/5/2024 10:52:24,Employed,1.5
4/5/2024 10:52:26,Employed,3.14
4/5/2024 10:52:36,Unemployed,3.13
4/5/2024 10:52:58,Employed,2
4/5/2024 10:53:06,Employed,2
4/5/2024 10:53:07,Employed,3
4/5/2024 10:53:55,Employed,2.3
4/5/2024 10:54:12,Employed,2.7
4/5/2024 10:54:28,Unemployed,3.8
4/5/2024 10:56:09,Employed,2.75
4/5/2024 10:57:55,Employed,4.2
4/5/2024 11:14:53,Unemployed,3.5
4/5/2024 11:22:04,Employed,3.78
4/5/2024 11:22:24,Employed,2.9
4/5/2024 11:23:24,Employed,3.2
4/5/2024 11:25:07,Unemployed,3.5
4/5/2024 11:25:14,Unemployed,3.5
4/5/2024 11:25:34,Employed,2.8
4/5/2024 11:25:47,Unemployed,0.1
4/5/2024 11:26:25,Unemployed,3.4
4/5/2024 11:26:43,Unemployed,4
4/5/2024 11:26:47,Unemployed,4
4/5/2024 11:26:54,Unemployed,3.2
4/5/2024 11:26:56,Unemployed,3
4/5/2024 11:27:05,Unemployed,3.98
4/5/2024 11:27:08,Unemployed,3.9
4/5/2024 11:27:12,Employed,3.9
4/5/2024 11:27:33,Unemployed,4
4/5/2024 11:27:41,Unemployed,3.2
4/5/2024 11:27:57,Employed,3
4/5/2024 11:28:37,Employed,2.8
4/5/2024 11:28:48,Unemployed,2.33
4/5/2024 11:28:54,Unemployed,3.5
4/5/2024 11:28:57,Employed,3.39
4/5/2024 11:29:00,Employed,3.2
4/5/2024 11:29:05,Unemployed,3.6
4/5/2024 11:29:24,Unemployed,3.8
4/5/2024 11:29:44,Employed,3.4
4/5/2024 11:30:02,Employed,3.98
4/5/2024 11:30:12,Unemployed,1.85
4/5/2024 11:30:14,Employed,3.6
4/5/2024 11:39:31,Employed,4
4/5/2024 11:43:54,Employed,3.4
4/5/2024 11:51:04,Employed,3.4
4/5/2024 11:54:46,Employed,3.9
4/5/2024 12:05:28,Employed,2.8
4/5/2024 12:49:56,Unemployed,3
4/5/2024 12:53:54,Employed,3.6
4/5/2024 13:14:03,Unemployed,3.9
4/5/2024 13:31:07,Employed,2
4/5/2024 13:41:51,Unemployed,4
4/5/2024 13:42:07,Employed,3.7
4/5/2024 13:47:22,Employed,4
4/5/2024 13:50:13,Employed,3.6
4/5/2024 13:53:53,Employed,3.98
4/5/2024 14:50:57,Unemployed,3.2
4/5/2024 15:32:46,Employed,3.53
4/5/2024 15:40:44,Employed,3.6
4/5/2024 16:01:31,Unemployed,2.2
4/5/2024 17:56:15,Employed,3.85
4/5/2024 18:10:15,Employed,2.5
4/5/2024 20:12:01,Employed,3.4
